,Date,Indian rupee (INR),GDP,Inflation
189,1994-10-31,387.2284142845407,6.658924067340251,9.98004477517911
190,1994-11-30,386.7027495781436,6.658924067340251,9.98004477517911
191,1994-12-30,386.5191688152368,6.658924067340251,9.98004477517911
192,1995-01-31,378.1725134985553,7.5744918403237875,9.06270222047438
193,1995-02-28,380.3060370408494,7.5744918403237875,9.06270222047438
194,1995-03-31,395.92583424628594,7.5744918403237875,9.06270222047438
195,1995-04-28,393.87300907787903,7.5744918403237875,9.06270222047438
196,1995-05-31,388.27234902562407,7.5744918403237875,9.06270222047438
197,1995-06-30,390.7395973173006,7.5744918403237875,9.06270222047438
198,1995-07-31,387.189190373727,7.5744918403237875,9.06270222047438
199,1995-08-31,391.58805551924667,7.5744918403237875,9.06270222047438
200,1995-09-29,418.8342056988305,7.5744918403237875,9.06270222047438
201,1995-10-31,420.744924567404,7.5744918403237875,9.06270222047438
202,1995-11-30,435.0725832682474,7.5744918403237875,9.06270222047438
203,1995-12-29,437.5346874404729,7.5744918403237875,9.06270222047438
204,1996-01-31,475.0661829548264,7.549522248819798,7.57501828808442
205,1996-02-29,446.6552112270613,7.549522248819798,7.57501828808442
206,1996-03-29,434.5340582632229,7.549522248819798,7.57501828808442
207,1996-04-30,437.17524209383566,7.549522248819798,7.57501828808442
208,1996-05-31,439.85307777553663,7.549522248819798,7.57501828808442
209,1996-06-28,432.6802462160758,7.549522248819798,7.57501828808442
210,1996-07-31,440.3816360491249,7.549522248819798,7.57501828808442
211,1996-08-30,443.1874317021691,7.549522248819798,7.57501828808442
212,1996-09-30,434.399668142566,7.549522248819798,7.57501828808442
213,1996-10-31,434.3626947840121,7.549522248819798,7.57501828808442
214,1996-11-29,426.40956460533056,7.549522248819798,7.57501828808442
215,1996-12-31,425.302292893507,7.549522248819798,7.57501828808442
216,1997-01-31,398.5023950762958,4.0498208490925975,6.47627126306148
217,1997-02-28,413.669509770046,4.0498208490925975,6.47627126306148
218,1997-03-31,401.5589665525752,4.0498208490925975,6.47627126306148
219,1997-04-30,391.0193088124476,4.0498208490925975,6.47627126306148
220,1997-05-30,397.5063649475997,4.0498208490925975,6.47627126306148
221,1997-06-30,385.0656335628691,4.0498208490925975,6.47627126306148
222,1997-07-31,374.5256543152757,4.0498208490925975,6.47627126306148
223,1997-08-29,380.02053841132,4.0498208490925975,6.47627126306148
224,1997-09-30,386.1963753196877,4.0498208490925975,6.47627126306148
225,1997-10-31,364.07666168047166,4.0498208490925975,6.47627126306148
226,1997-11-28,368.19067121139335,4.0498208490925975,6.47627126306148
227,1997-12-31,365.83466450284425,4.0498208490925975,6.47627126306148
228,1998-01-30,380.48029408725137,6.184415820906182,8.0101675232066
229,1998-02-27,376.2498988537513,6.184415820906182,8.0101675232066
230,1998-03-31,382.0868668932857,6.184415820906182,8.0101675232066
231,1998-04-30,396.72252974625655,6.184415820906182,8.0101675232066
232,1998-05-29,393.3891403420212,6.184415820906182,8.0101675232066
233,1998-06-30,403.6751286917224,6.184415820906182,8.0101675232066
234,1998-07-31,395.05776408893297,6.184415820906182,8.0101675232066
235,1998-08-31,373.7511428304375,6.184415820906182,8.0101675232066
236,1998-09-30,400.599909782433,6.184415820906182,8.0101675232066
237,1998-10-30,398.0847568783693,6.184415820906182,8.0101675232066
